check,strategy,result,detail
weights_sum_to_one,EW,PASS,sum=1.0
weights_sum_to_one,ERC,PASS,sum=1.0
weights_sum_to_one,MinVar,PASS,sum=1.0
weights_sum_to_one,HRP_static,PASS,sum=1.0
weights_sum_to_one,MHRP_EV,PASS,sum=1.0
long_only_nonneg,EW,PASS,min_weight>=0
long_only_nonneg,ERC,PASS,min_weight>=0
long_only_nonneg,MinVar,PASS,min_weight>=0
long_only_nonneg,HRP_static,PASS,min_weight>=0
long_only_nonneg,MHRP_EV,PASS,min_weight>=0
accounting_gross_reconciles,EW,PASS,median_abs_diff=0.0
accounting_gross_reconciles,ERC,PASS,median_abs_diff=0.0
accounting_gross_reconciles,MinVar,PASS,median_abs_diff=0.0
accounting_gross_reconciles,HRP_static,PASS,median_abs_diff=0.0
accounting_gross_reconciles,MHRP_EV,PASS,median_abs_diff=0.0
baseline_consistency_vs_phase05,HRP_static,PASS,0.574==0.574
baseline_consistency_vs_phase05,ERC,PASS,0.549==0.549
baseline_consistency_vs_phase05,EW,PASS,0.508==0.508
