environment,focal,vs,mean_dSharpe,"one_sided_[L,U]"
A_iid_gaussian,RAC_HRP,EW,-0.0692,"[-0.094, -0.045]"
A_iid_gaussian,RAC_HRP,ERC,-0.0428,"[-0.058, -0.028]"
A_iid_gaussian,HRP_static,EW,-0.069,"[-0.091, -0.047]"
A_iid_gaussian,HRP_static,ERC,-0.0426,"[-0.055, -0.030]"
B_xsec_shuffle,RAC_HRP,EW,0.0033,"[+0.000, +0.006]"
B_xsec_shuffle,RAC_HRP,ERC,0.0019,"[-0.000, +0.004]"
B_xsec_shuffle,HRP_static,EW,0.0044,"[+0.002, +0.007]"
B_xsec_shuffle,HRP_static,ERC,0.003,"[+0.001, +0.005]"
D_regime_switch_vol,RAC_HRP,EW,-0.0049,"[-0.045, +0.035]"
D_regime_switch_vol,RAC_HRP,ERC,0.093,"[+0.057, +0.129]"
D_regime_switch_vol,HRP_static,EW,-0.0154,"[-0.055, +0.025]"
D_regime_switch_vol,HRP_static,ERC,0.0825,"[+0.048, +0.117]"
